STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00093821,1/1/2019,54,42,6.04,0
USW00093821,1/2/2019,45,40,6.93,0
USW00093821,1/3/2019,45,37,4.03,0
USW00093821,1/4/2019,47,37,5.82,0.68
USW00093821,1/5/2019,57,36,7.83,0
USW00093821,1/6/2019,59,36,3.58,0
USW00093821,1/7/2019,65,48,12.3,0
USW00093821,1/8/2019,67,44,15.21,0
USW00093821,1/9/2019,44,26,16.78,0
USW00093821,1/10/2019,34,24,6.93,0
USW00093821,1/11/2019,37,23,5.37,0.03
USW00093821,1/12/2019,40,31,6.04,0.32
USW00093821,1/13/2019,39,33,8.72,0.15
USW00093821,1/14/2019,37,28,6.93,0
USW00093821,1/15/2019,36,28,7.38,0
USW00093821,1/16/2019,41,36,6.04,0
USW00093821,1/17/2019,46,40,7.38,0.14
USW00093821,1/18/2019,42,38,5.82,0
USW00093821,1/19/2019,48,25,11.86,0.88
USW00093821,1/20/2019,26,15,14.32,0.07
USW00093821,1/21/2019,24,11,5.37,0
USW00093821,1/22/2019,49,20,10.51,0
USW00093821,1/23/2019,54,31,14.54,0.86
USW00093821,1/24/2019,36,25,13.2,0
USW00093821,1/25/2019,28,14,8.95,0
USW00093821,1/26/2019,42,25,9.17,0
USW00093821,1/27/2019,43,28,7.38,0
USW00093821,1/28/2019,53,26,11.18,0.04
USW00093821,1/29/2019,26,15,14.32,0.03
USW00093821,1/30/2019,22,3,11.63,0.02
USW00093821,1/31/2019,25,5,4.03,0
USW00093821,2/1/2019,40,25,3.36,0.02
USW00093821,2/2/2019,59,29,3.58,0
USW00093821,2/3/2019,70,40,5.37,0
USW00093821,2/4/2019,61,46,8.72,0.07
USW00093821,2/5/2019,61,48,4.92,0.07
USW00093821,2/6/2019,65,51,5.82,0.45
USW00093821,2/7/2019,70,36,12.53,1.41
USW00093821,2/8/2019,36,20,13.42,0
USW00093821,2/9/2019,36,18,8.05,0
USW00093821,2/10/2019,43,26,4.92,0.26
USW00093821,2/11/2019,51,42,4.25,1.54
USW00093821,2/12/2019,58,35,14.99,1.23
USW00093821,2/13/2019,44,29,13.42,0
USW00093821,2/14/2019,61,37,13.42,0
USW00093821,2/15/2019,56,31,10.96,0.01
USW00093821,2/16/2019,43,28,9.62,0
USW00093821,2/17/2019,41,32,6.71,0
USW00093821,2/18/2019,38,30,11.41,0
USW00093821,2/19/2019,39,28,8.05,0.04
USW00093821,2/20/2019,54,34,10.07,2.02
USW00093821,2/21/2019,48,35,3.36,0
USW00093821,2/22/2019,47,41,8.5,0
USW00093821,2/23/2019,62,42,7.61,1.11
USW00093821,2/24/2019,63,36,21.92,0.02
USW00093821,2/25/2019,47,26,6.71,0
USW00093821,2/26/2019,58,29,2.01,0
USW00093821,2/27/2019,69,33,8.5,0
USW00093821,2/28/2019,42,34,9.84,0.13
USW00093821,3/1/2019,39,34,6.26,0
USW00093821,3/2/2019,44,38,5.82,0
USW00093821,3/3/2019,40,29,11.63,0.14
USW00093821,3/4/2019,29,15,11.41,0
USW00093821,3/5/2019,32,12,12.3,0
USW00093821,3/6/2019,35,16,9.4,0
USW00093821,3/7/2019,38,28,4.47,0.01
USW00093821,3/8/2019,44,32,4.7,0.15
USW00093821,3/9/2019,64,38,10.74,1.08
USW00093821,3/10/2019,62,44,14.09,0
USW00093821,3/11/2019,56,40,5.37,0
USW00093821,3/12/2019,54,34,4.03,0
USW00093821,3/13/2019,72,44,9.17,0
USW00093821,3/14/2019,78,57,20.13,0.65
USW00093821,3/15/2019,59,37,13.65,0
USW00093821,3/16/2019,53,32,8.05,0
USW00093821,3/17/2019,59,31,8.5,0
USW00093821,3/18/2019,54,31,5.82,0
USW00093821,3/19/2019,55,33,2.91,0
USW00093821,3/20/2019,64,40,7.83,0
USW00093821,3/21/2019,51,42,10.29,0.06
USW00093821,3/22/2019,60,39,11.63,0
USW00093821,3/23/2019,62,32,3.8,0
USW00093821,3/24/2019,62,45,5.37,0.07
USW00093821,3/25/2019,56,41,8.95,0.32
USW00093821,3/26/2019,54,33,8.5,0
USW00093821,3/27/2019,66,32,3.58,0
USW00093821,3/28/2019,75,41,10.51,0
USW00093821,3/29/2019,69,56,8.72,0.05
USW00093821,3/30/2019,70,39,14.76,1.21
USW00093821,3/31/2019,47,33,12.3,0
USW00093821,4/1/2019,51,29,4.92,0
USW00093821,4/2/2019,62,39,5.82,0
USW00093821,4/3/2019,69,46,4.92,0
USW00093821,4/4/2019,76,52,8.28,0.05
USW00093821,4/5/2019,63,53,4.03,0.19
USW00093821,4/6/2019,72,57,3.8,0
USW00093821,4/7/2019,70,56,7.38,0.56
USW00093821,4/8/2019,73,61,6.26,0.01
USW00093821,4/9/2019,74,57,7.61,0
USW00093821,4/10/2019,77,49,4.03,0
USW00093821,4/11/2019,84,57,12.75,0
USW00093821,4/12/2019,77,56,13.87,0.06
USW00093821,4/13/2019,72,47,6.26,0.08
USW00093821,4/14/2019,79,41,17.45,1.29
USW00093821,4/15/2019,59,38,8.28,0
USW00093821,4/16/2019,80,43,10.51,0
USW00093821,4/17/2019,80,61,10.51,0
USW00093821,4/18/2019,78,56,13.87,0.24
USW00093821,4/19/2019,56,45,14.54,1.8
USW00093821,4/20/2019,47,41,8.5,1.07
USW00093821,4/21/2019,73,39,1.57,0
USW00093821,4/22/2019,81,47,5.82,0
USW00093821,4/23/2019,84,61,10.74,0
USW00093821,4/24/2019,79,56,6.04,0.38
USW00093821,4/25/2019,77,62,6.93,0.68
USW00093821,4/26/2019,68,55,16.11,0.18
USW00093821,4/27/2019,66,49,6.49,0.03
USW00093821,4/28/2019,66,49,11.86,0
USW00093821,4/29/2019,83,45,6.93,0
USW00093821,4/30/2019,85,61,7.61,0
USW00093821,5/1/2019,85,67,11.18,0.13
USW00093821,5/2/2019,80,62,6.49,0.32
USW00093821,5/3/2019,77,64,6.49,1.19
USW00093821,5/4/2019,71,58,7.83,0.34
USW00093821,5/5/2019,74,55,7.61,0.01
USW00093821,5/6/2019,80,52,3.8,0
USW00093821,5/7/2019,82,59,3.13,0
USW00093821,5/8/2019,86,61,8.28,0
USW00093821,5/9/2019,78,67,12.75,0
USW00093821,5/10/2019,68,55,8.72,0
USW00093821,5/11/2019,71,52,7.16,0.3
USW00093821,5/12/2019,61,51,8.05,0.05
USW00093821,5/13/2019,60,49,8.5,0
USW00093821,5/14/2019,73,47,2.91,0
USW00093821,5/15/2019,71,52,5.37,0
USW00093821,5/16/2019,83,54,6.71,0.01
USW00093821,5/17/2019,90,65,9.84,0
USW00093821,5/18/2019,90,67,9.62,0
USW00093821,5/19/2019,79,65,12.75,0.37
USW00093821,5/20/2019,77,59,8.28,0
USW00093821,5/21/2019,78,55,11.18,0
USW00093821,5/22/2019,84,67,8.28,0.1
USW00093821,5/23/2019,91,73,9.62,0.07
USW00093821,5/24/2019,91,72,7.61,0
USW00093821,5/25/2019,90,75,10.74,0
USW00093821,5/26/2019,88,71,6.71,0.41
USW00093821,5/27/2019,89,68,6.93,0
USW00093821,5/28/2019,90,75,11.86,0
USW00093821,5/29/2019,81,69,9.17,1.08
USW00093821,5/30/2019,78,69,7.61,0.23
USW00093821,5/31/2019,80,67,9.62,0
USW00093821,6/1/2019,83,64,5.82,0
USW00093821,6/2/2019,86,67,10.29,0
USW00093821,6/3/2019,79,59,4.92,0
USW00093821,6/4/2019,84,60,7.83,0
USW00093821,6/5/2019,90,68,10.96,0.71
USW00093821,6/6/2019,84,69,4.7,0.03
USW00093821,6/7/2019,77,69,10.74,0.3
USW00093821,6/8/2019,84,70,10.51,0.51
USW00093821,6/9/2019,82,71,5.37,1.14
USW00093821,6/10/2019,80,65,10.96,0
USW00093821,6/11/2019,77,56,6.49,0
USW00093821,6/12/2019,78,59,7.38,0
USW00093821,6/13/2019,74,59,14.32,0
USW00093821,6/14/2019,79,51,7.16,0
USW00093821,6/15/2019,85,69,13.42,0
USW00093821,6/16/2019,91,68,10.07,1.89
USW00093821,6/17/2019,86,69,7.16,0.69
USW00093821,6/18/2019,84,71,6.49,0.15
USW00093821,6/19/2019,88,70,6.71,0.13
USW00093821,6/20/2019,79,67,11.41,0
USW00093821,6/21/2019,83,63,6.49,0.39
USW00093821,6/22/2019,82,67,5.82,0.44
USW00093821,6/23/2019,88,68,7.83,0.5
USW00093821,6/24/2019,80,71,8.95,0.71
USW00093821,6/25/2019,86,68,7.16,0
USW00093821,6/26/2019,91,69,7.61,0
USW00093821,6/27/2019,91,72,6.71,0
USW00093821,6/28/2019,93,70,4.7,0
USW00093821,6/29/2019,94,75,5.14,0
USW00093821,6/30/2019,94,72,8.28,0.23
USW00093821,7/1/2019,91,70,4.7,0.06
USW00093821,7/2/2019,93,75,6.26,0
USW00093821,7/3/2019,90,73,6.04,0.55
USW00093821,7/4/2019,91,71,5.59,0
USW00093821,7/5/2019,92,74,6.26,0
USW00093821,7/6/2019,89,76,6.49,0
USW00093821,7/7/2019,93,76,5.37,0.03
USW00093821,7/8/2019,90,74,7.83,0
USW00093821,7/9/2019,93,73,3.8,0
USW00093821,7/10/2019,93,76,4.92,0
USW00093821,7/11/2019,92,76,7.61,0
USW00093821,7/12/2019,90,72,6.04,0
USW00093821,7/13/2019,93,67,3.8,0
USW00093821,7/14/2019,92,74,8.05,0
USW00093821,7/15/2019,89,75,6.26,0
USW00093821,7/16/2019,92,75,12.75,0.02
USW00093821,7/17/2019,92,75,10.07,0.06
USW00093821,7/18/2019,95,76,7.16,0.09
USW00093821,7/19/2019,96,78,9.17,0
USW00093821,7/20/2019,96,80,7.38,0
USW00093821,7/21/2019,93,74,7.61,0.17
USW00093821,7/22/2019,83,69,7.83,0.01
USW00093821,7/23/2019,84,63,10.96,0
USW00093821,7/24/2019,84,64,7.83,0
USW00093821,7/25/2019,86,64,3.8,0
USW00093821,7/26/2019,88,67,3.8,0
USW00093821,7/27/2019,93,68,6.49,0
USW00093821,7/28/2019,93,70,6.26,0
USW00093821,7/29/2019,94,73,9.17,0.27
USW00093821,7/30/2019,89,73,7.38,0.05
USW00093821,7/31/2019,90,70,5.59,0
USW00093821,8/1/2019,91,69,6.71,0
USW00093821,8/2/2019,91,71,6.71,0
USW00093821,8/3/2019,92,71,6.26,0
USW00093821,8/4/2019,93,72,6.04,0
USW00093821,8/5/2019,94,70,3.58,0
USW00093821,8/6/2019,93,72,9.62,0
USW00093821,8/7/2019,91,71,6.71,0
USW00093821,8/8/2019,91,71,6.71,0
USW00093821,8/9/2019,95,75,7.16,0
USW00093821,8/10/2019,90,69,5.82,0
USW00093821,8/11/2019,93,68,3.36,0
USW00093821,8/12/2019,89,71,5.82,0
USW00093821,8/13/2019,89,73,8.95,0.59
USW00093821,8/14/2019,93,73,8.5,0
USW00093821,8/15/2019,87,69,7.83,0
USW00093821,8/16/2019,91,68,5.37,0
USW00093821,8/17/2019,94,72,6.26,0
USW00093821,8/18/2019,96,76,7.61,0
USW00093821,8/19/2019,98,74,5.82,0.01
USW00093821,8/20/2019,98,73,7.61,0.02
USW00093821,8/21/2019,94,71,7.16,0
USW00093821,8/22/2019,87,72,6.71,0.5
USW00093821,8/23/2019,76,67,6.26,0.45
USW00093821,8/24/2019,83,60,8.72,0
USW00093821,8/25/2019,85,62,6.71,0.06
USW00093821,8/26/2019,75,70,11.86,1.05
USW00093821,8/27/2019,85,71,8.72,0
USW00093821,8/28/2019,84,61,6.93,0
USW00093821,8/29/2019,86,60,7.16,0
USW00093821,8/30/2019,90,68,5.82,0
USW00093821,8/31/2019,89,72,6.26,0
USW00093821,9/1/2019,91,71,5.59,0
USW00093821,9/2/2019,89,72,5.82,0
USW00093821,9/3/2019,91,69,4.03,0
USW00093821,9/4/2019,93,71,8.05,0
USW00093821,9/5/2019,83,63,8.05,0
USW00093821,9/6/2019,91,63,7.83,0
USW00093821,9/7/2019,80,63,6.71,0
USW00093821,9/8/2019,83,60,3.8,0
USW00093821,9/9/2019,93,67,2.91,0
USW00093821,9/10/2019,99,70,5.14,0
USW00093821,9/11/2019,97,77,4.92,0
USW00093821,9/12/2019,97,75,4.7,0
USW00093821,9/13/2019,97,73,8.05,0
USW00093821,9/14/2019,87,70,6.93,0
USW00093821,9/15/2019,94,63,3.36,0
USW00093821,9/16/2019,98,69,6.49,0
USW00093821,9/17/2019,92,72,6.71,0
USW00093821,9/18/2019,91,66,5.82,0
USW00093821,9/19/2019,93,69,5.37,0
USW00093821,9/20/2019,91,72,8.28,0
USW00093821,9/21/2019,93,72,6.71,0
USW00093821,9/22/2019,92,66,9.4,0
USW00093821,9/23/2019,88,67,9.4,0.04
USW00093821,9/24/2019,82,59,3.36,0
USW00093821,9/25/2019,90,57,7.38,0
USW00093821,9/26/2019,84,64,6.04,0
USW00093821,9/27/2019,95,59,8.28,0
USW00093821,9/28/2019,95,77,8.05,0
USW00093821,9/29/2019,96,72,4.92,0
USW00093821,9/30/2019,98,73,4.25,0
USW00093821,10/1/2019,97,72,4.92,0
USW00093821,10/2/2019,97,71,7.83,0
USW00093821,10/3/2019,96,69,10.51,0
USW00093821,10/4/2019,77,61,10.74,0
USW00093821,10/5/2019,85,54,4.92,0
USW00093821,10/6/2019,79,58,8.28,1.26
USW00093821,10/7/2019,67,55,3.58,0.16
USW00093821,10/8/2019,75,50,6.04,0
USW00093821,10/9/2019,65,52,4.47,0
USW00093821,10/10/2019,84,56,5.14,0
USW00093821,10/11/2019,75,47,10.29,0.31
USW00093821,10/12/2019,59,39,6.04,0
